"","Seconds","Date_Time","CO2ppm","WVppt","RefBP","DegC1","DegC2","Volts_6","FRB_mlmin","FRC_mlmin","Chamber","TC1","RH_pct","Light_Lux","BP_kPa","Act_1","Act_2","Act_3","Act_4","Act_5","Act_6","Act_7","Act_8","Act_9","Act_10","Act_11","Act_12","Act_13","Act_14","Act_15","Act_16","c_FRC_mlmin","c_CO2ppm","CO2_mlmin","FlyChamber1","FlyChamber2","FlyChamber3","FlyChamber4","FlyChamber5","FlyChamber6","FlyChamber7","FlyChamber8","FlyChamber9","FlyChamber10","FlyChamber11","FlyChamber12","FlyChamber13","FlyChamber14","FlyChamber15","FlyChamber16","CO2_mlminFly1","CO2_mlminFly2","CO2_mlminFly3","CO2_mlminFly4","CO2_mlminFly5","CO2_mlminFly6","CO2_mlminFly7","CO2_mlminFly8","CO2_mlminFly9","CO2_mlminFly10","CO2_mlminFly11","CO2_mlminFly12","CO2_mlminFly13","CO2_mlminFly14","CO2_mlminFly15","CO2_mlminFly16"
"1",0,61962.97,-2.071,25.0348,95.465,30.3967,29.2598,2.5052,25,25.77,15,23.06,26.5,4.08,100.727,0,0,0,0,0,12.56,0.33,0,44.55,0,52.57,23.33,0,0,0,0,25.83311,5.917481e-06,0.000152867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152867,0
"2",1,61962.97,-2.3285,25.0291,95.4603,30.4051,29.2639,2.5033,25.01,25.79,16,23.23,26,3.98,100.72,0,0,0,0,0,1.84,9.75,0,20.48,0,0.55,0.28,0.17,0,0,0,25.83311,6.05135e-06,0.0001563252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001563252
"3",2,61962.97,-2.3477,25.034,95.4587,30.4148,29.2654,2.5016,24.96,25.83,16,23.23,26,4.03,100.72,0,0,0,0,0,1.03,8.48,0,55.96,0,16.06,0.16,0.1,0,0,0,25.83311,6.177062e-06,0.0001595727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001595727
"4",3,61962.97,-2.3703,25.046,95.4568,30.4089,29.2611,2.502,24.99,25.83,16,23.23,26,4.03,100.72,0,0,0,0,0,0.58,4.77,0,31.48,0,16.91,0.09,0.05,0,0,0,25.83311,6.294351e-06,0.0001626027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001626027
"5",4,61962.97,-2.3815,25.0361,95.4606,30.4047,29.2622,2.5018,25,25.83,16,23.23,26,4.08,100.721,0,0,0,0,0,0.33,2.68,0,30.64,0,17.2,0.05,0.03,0,0,0,25.83311,6.416085e-06,0.0001657475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001657475
"6",5,61962.97,-2.4035,25.0364,95.459,30.412,29.2642,2.5028,25.01,25.79,16,23.23,26,3.98,100.721,0,0,0,0,0,9.93,1.51,0,25.11,0,9.67,4.53,0.02,0,0,0,25.83311,6.52125e-06,0.0001684642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001684642
"7",6,61962.97,-2.4195,25.0325,95.4594,30.4248,29.2563,2.5021,25.04,25.83,16,23.23,26,4.11,100.722,0,0,0,0,0,13.94,3.64,0,15.25,0,5.44,21.3,0.01,0,0,0,25.83311,6.634808e-06,0.0001713977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001713977
"8",7,61962.97,-2.432,25.0349,95.4568,30.4188,29.2591,2.5025,25.04,25.84,16,23.23,25.97,4.06,100.723,0,0,0,0,0,10.46,25.23,0,20.2,0,4.56,17.98,0.01,0,0,0,25.83311,6.756313e-06,0.0001745366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001745366
"9",8,61962.97,-2.4474,25.0252,95.4547,30.4246,29.2604,2.5021,25.05,25.82,16,23.23,25.97,4.43,100.723,0,0,0,0,0,10.01,16.82,0,19.8,0,2.57,12.93,0,0,0,0,25.80454,6.866852e-06,0.000177196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177196
"10",9,61962.97,-2.4686,25.026,95.4573,30.4369,29.2664,2.5026,25.03,25.76,16,23.23,25.94,4.03,100.722,0,0,0,0,0,16.46,12.65,0,36.64,0,3.13,7.27,0,0,0,0,25.77341,6.968125e-06,0.0001795924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001795924
