"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state","quality","source.data"
1,"1",9.951918,416,30.1186,1.38347222222222,0.57,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
2,"1",7.919907,533.5,30.1288,NA,NA,"Inactive","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
3,"1",7.333059,653.5,30.1404,3.54111111111111,0.92,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
4,"1",10.913976,772.5,30.1408,5.70034482758621,4.08,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
5,"1",8.909508,891.5,30.137,8.57858585858586,6.84,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
6,"1",12.984468,1011.5,30.14455,7.20159292035398,4.42,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
7,"1",11.056851,1131.5,30.1429,7.46475,4.475,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
8,"1",7.749705,1251.5,30.1404,NA,NA,"Inactive","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
9,"1",8.976153,1371.5,30.15275,0.541818181818182,0.2,"Inactive","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
10,"1",11.348886,1491.5,30.15245,4.25840909090909,2.65,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
11,"1",6.568956,1611.5,30.1444,1.88487179487179,0.51,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
12,"1",8.440368,1731.5,30.1477,14.9959166666667,12.68,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
13,"1",9.199896,1851.5,30.1539,7.82583333333333,4.01,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
14,"1",8.960916,1970.5,30.15305,9.65698275862069,7.435,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
15,"1",6.294648,2089,30.1491,7.18619047619048,3.21,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
16,"1",6.431616,2208,30.1512,9.5563025210084,7.3,"Active","pass","003-FH-25-30C-2022-03-16_trans_isol_R.csv"
