,Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,TC1,TC1.1,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
1,0,61962.88,-3.7886,25.0347,95.541,5.0633,6.8589,2.5029,24.95,25.46,16,23.05,27.48,105.88,100.833,146.48,137.2,128.81,131.95,137.77,129.19,160.5,140.88,146.03,94.87,106.12,109.31,107.81,105.14,102.14,73.83,25.58575,2.00E-06,5.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11E-05
2,1,61962.88,-4.4465,25.0396,95.5446,5.0872,6.9523,2.5046,24.99,25.44,16,22.73,27.93,3.99,100.831,108.92,101.61,105.2,99.94,115.16,121.74,135.17,120.58,111.07,116.08,97.36,106.54,96.59,129.54,133.69,111.67,25.58575,1.98E-06,5.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E-05
3,2,61962.88,-4.4798,25.0438,95.5466,5.101,6.9602,2.5027,24.94,25.43,16,22.73,28.41,3.39,100.832,61.27,57.16,59.17,56.21,66.27,69.98,77.54,67.83,62.48,65.3,54.76,59.93,72.44,72.87,75.2,62.81,25.58575,1.96E-06,5.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02E-05
4,3,61962.88,-4.5152,25.0394,95.5454,5.1003,6.9609,2.5033,24.95,25.46,16,22.73,28.41,3.28,100.833,34.46,32.15,33.29,31.62,38.4,39.36,45.11,38.15,36.64,39.73,41.07,44.95,40.75,42.11,42.3,35.33,25.58575,1.94E-06,4.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05
5,4,61962.88,-4.5479,25.0447,95.5458,5.0993,6.9618,2.5045,25.12,25.67,16,22.73,28.41,3.46,100.833,19.39,18.08,18.72,17.79,22.73,22.14,25.38,22.59,20.61,22.35,18.17,20.65,18.88,26.5,25.48,22.12,25.58575,1.92E-06,4.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-05
6,5,61962.88,-4.5934,25.0311,95.5476,5.1072,6.9548,2.504,25.02,25.6,16,22.73,28.78,4.37,100.834,8.18,7.63,8.74,9.89,11.98,11.31,11.55,10.37,8.7,9.43,10.22,11.61,10.62,11.18,10.75,9.33,25.58575,1.91E-06,4.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88E-05
7,6,61962.88,-4.6206,25.0326,95.5479,5.1136,6.9584,2.5053,25.01,25.56,16,22.73,28.98,4.41,100.834,6.13,5.72,6.56,7.42,8.98,8.48,8.66,7.78,6.52,7.07,5.75,6.53,7.96,8.39,8.06,7,25.58575,1.88E-06,4.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-05
8,7,61962.88,-4.6574,25.0333,95.5482,5.1273,6.9578,2.5043,24.99,25.53,16,22.73,28.98,4.27,100.835,3.45,3.22,3.69,4.17,5.05,4.77,4.87,4.38,3.67,3.98,3.23,3.68,4.48,4.72,4.54,3.94,25.58575,1.84E-06,4.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71E-05
9,8,61962.88,-4.6921,25.0261,95.5499,5.134,6.9594,2.5045,24.95,25.53,16,22.73,28.98,3.89,100.834,1.94,1.81,2.07,2.35,2.84,2.68,2.74,2.46,2.06,2.24,1.82,2.07,1.89,1.99,2.55,2.21,25.60111,1.83E-06,4.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69E-05
10,9,61962.88,-4.7305,25.0426,95.5511,5.1357,6.9671,2.5041,25.13,25.65,16,22.73,28.98,4.51,100.834,0.82,1.02,1.17,1.32,1.6,1.51,1.54,1.38,1.16,1.26,1.02,1.16,1.06,1.12,1.08,0.93,25.58238,1.85E-06,4.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72E-05
11,10,61962.88,-4.7477,25.0403,95.5533,5.1422,6.9599,2.5039,25.07,25.59,16,22.73,29.16,3.92,100.834,0.61,0.57,0.66,0.74,0.9,0.85,0.87,0.78,0.65,0.71,0.58,0.65,0.6,0.63,0.81,0.7,25.56453,1.86E-06,4.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75E-05
12,11,61962.88,-4.7774,25.0323,95.5483,5.1409,6.9685,2.504,25.04,25.59,16,22.73,29.16,4.01,100.834,0.35,0.32,0.37,0.42,0.51,0.48,0.49,0.44,0.37,0.4,0.32,0.37,0.34,0.35,0.45,0.39,25.54898,1.86E-06,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74E-05
13,12,61962.88,-4.8124,25.0319,95.5482,5.1431,6.9632,2.5034,25.01,25.57,16,22.73,29.16,4.01,100.833,0.19,0.18,0.21,0.24,0.28,0.27,0.27,0.25,0.21,0.22,0.18,0.21,0.19,0.27,0.26,0.22,25.5454,1.85E-06,4.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72E-05
14,13,61962.88,-4.861,25.0265,95.5448,5.1523,6.9564,2.5036,24.97,25.5,16,22.41,29.16,4.01,100.833,0.08,0.08,0.09,0.1,0.12,0.11,0.15,0.14,0.12,0.13,0.1,0.12,0.11,0.11,0.11,0.09,25.54852,1.84E-06,4.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69E-05
15,14,61962.88,-4.8845,25.0327,95.5477,5.1551,6.9564,2.5034,24.95,25.52,16,22.41,29.13,4.01,100.833,0.06,0.06,0.07,0.07,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.07,25.55556,1.82E-06,4.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65E-05
16,15,61962.88,-4.9208,25.0169,95.5468,5.161,6.9521,2.504,24.92,25.4,16,22.41,29.13,4.03,100.832,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.05,0.04,25.55023,1.80E-06,4.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61E-05
17,16,61962.88,-4.9453,25.0309,95.5448,5.1567,6.9502,2.5036,25.1,25.64,16,22.41,29.13,4.03,100.832,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,25.52441,1.78E-06,4.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54E-05
18,17,61962.88,-4.9609,25.0349,95.5421,5.161,6.9477,2.5043,24.98,25.59,16,22.41,29.13,4.08,100.832,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.53012,1.75E-06,4.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47E-05
19,18,61962.88,-4.992,25.0332,95.543,5.1714,6.9455,2.5036,24.97,25.52,16,22.31,29.13,4.28,100.832,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25.54092,1.74E-06,4.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44E-05
20,19,61962.88,-5.0359,25.0305,95.5408,5.1712,6.9493,2.5035,25.14,25.62,16,22.31,28.91,4.03,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55138,1.72E-06,4.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40E-05
21,20,61962.88,-5.0459,25.0356,95.5435,5.1769,6.9469,2.5041,25.09,25.55,16,22.31,28.91,4.37,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55369,1.69E-06,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05
22,21,61962.88,-5.0761,25.0335,95.544,5.1852,6.9437,2.5039,24.96,25.45,16,22.31,28.91,4.13,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.55578,1.67E-06,4.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05
23,22,61962.88,-5.1037,25.0292,95.5451,5.182,6.9448,2.5039,24.91,25.48,16,22.31,28.91,4.47,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56193,1.69E-06,4.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32E-05
24,23,61962.88,-5.1262,25.0257,95.5471,5.1785,6.938,2.5028,25.13,25.69,16,22.23,28.91,4.22,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,25.55262,1.71E-06,4.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38E-05
25,24,61962.88,-5.1374,25.0347,95.5468,5.174,6.9488,2.5033,25.06,25.58,16,22.23,28.91,4.03,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,25.56193,1.72E-06,4.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40E-05
26,25,61962.88,-5.1634,25.0354,95.5479,5.1742,6.9378,2.5045,24.94,25.51,16,22.23,28.63,4.03,100.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,25.56486,1.71E-06,4.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38E-05
27,26,61962.88,-5.2,25.0346,95.5453,5.1775,6.932,2.5027,24.96,25.52,16,22.23,28.63,4.08,100.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,25.55501,1.70E-06,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35E-05
28,27,61962.88,-5.2127,25.035,95.5445,5.1853,6.93,2.5029,25.08,25.62,16,22.23,28.46,3.94,100.831,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.11,0,25.58537,1.70E-06,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35E-05
29,28,61962.88,-5.2229,25.0382,95.548,5.1833,6.9267,2.5028,25.06,25.58,16,22.13,28.46,3.56,100.831,0,0,0,0,0,0,1.13,0,0,0,0,1.13,0,0,0.06,0,25.57714,1.68E-06,4.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-05
30,29,61962.88,-5.2567,25.0386,95.5461,5.1898,6.9199,2.5029,25.04,25.54,16,22.13,28.46,4.48,100.83,0,0,0,0,0,0,0.63,0,0,0,0,0.63,0,0,0.04,0,25.54757,1.67E-06,4.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26E-05
31,30,61962.88,-5.2781,25.0295,95.5461,5.1945,6.919,2.5035,24.97,25.48,16,22.13,28.46,4.49,100.83,0,0,0,0,0,0,0.36,0,0,0,0,0.36,0,0,0.02,0,25.49054,1.66E-06,4.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22E-05
32,31,61962.88,-5.2962,25.0351,95.5438,5.1867,6.922,2.501,24.95,25.46,16,22.13,28.46,4.88,100.829,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0.01,0,25.44203,1.66E-06,4.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22E-05
33,32,61962.88,-5.3121,25.0341,95.5362,5.189,6.9266,2.5026,24.93,25.46,16,22.13,28.46,4.51,100.828,0,0,0,0,0,0,0.11,0,0,0,0,0.11,0,0,0.01,0,25.37957,1.65E-06,4.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19E-05
34,33,61962.88,-5.3279,25.0283,95.5375,5.1935,6.923,2.5034,24.98,25.48,0,22.13,28.46,4.35,100.828,0,0,0,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0,25.29839,1.62E-06,4.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,34,61962.88,-5.3162,25.0375,95.5391,5.1919,6.9206,2.5047,24.87,25.04,0,22.13,28.46,4.53,100.829,0,0,0,0,0,0,0.03,0,0,0,0,0.04,0,0,1.13,0,25.21771,1.58E-06,3.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,35,61962.88,-5.2909,25.0387,95.5417,5.1946,6.9187,2.5067,25.09,25.13,0,22.13,28.43,4.19,100.829,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.63,0,25.14517,1.55E-06,3.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,36,61962.88,-5.3106,25.0353,95.539,5.2064,6.9221,2.5048,25.01,24.99,0,22.13,28.43,4.25,100.829,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.36,0,25.09228,1.53E-06,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,37,61962.88,-5.354,25.0343,95.5383,5.2006,6.9222,2.5053,25.07,25.02,0,22.13,28.43,4.1,100.828,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.2,0,25.03805,1.55E-06,3.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,38,61962.88,-5.3905,25.0364,95.5374,5.2017,6.9133,2.507,25.03,25.01,0,22.13,28.43,4.29,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,24.99291,1.61E-06,4.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,39,61962.88,-5.3987,25.0427,95.5379,5.1914,6.9072,2.5048,25,24.97,0,22.13,28.43,4.57,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,24.96952,1.74E-06,4.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,40,61962.88,-5.4154,25.0378,95.5392,5.2001,6.912,2.5037,25.05,25.01,0,22.13,28.43,4.6,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,24.96055,1.89E-06,4.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,41,61962.88,-5.4403,25.0337,95.5442,5.2064,6.914,2.5044,25,24.97,0,22.13,28.43,4.97,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,24.99154,2.04E-06,5.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,42,61962.88,-5.4502,25.0392,95.5404,5.2102,6.9171,2.5029,25.08,25.04,0,22.13,28.43,4.66,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,24.97963,2.20E-06,5.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,43,61962.88,-5.4482,25.0339,95.5363,5.2046,6.9155,2.5033,24.97,24.91,0,22.13,28.43,4.63,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,24.98455,2.35E-06,5.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,44,61962.88,-5.4426,25.0347,95.5387,5.2083,6.9158,2.5039,25.01,25,0,22.13,28.43,4.8,100.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98883,2.47E-06,6.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,45,61962.88,-5.456,25.0313,95.5419,5.202,6.9103,2.5038,25.05,25.02,0,22.13,28.43,4.63,100.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98665,2.54E-06,6.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,46,61962.88,-5.4775,25.0279,95.5418,5.2046,6.9074,2.5035,24.96,24.96,0,22.13,28.43,4.48,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98636,2.55E-06,6.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,47,61962.88,-5.483,25.0302,95.5416,5.2083,6.9114,2.5035,25.02,25.03,0,22.13,28.43,4.01,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,24.97153,2.51E-06,6.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,48,61962.88,-5.4852,25.0426,95.5431,5.216,6.9078,2.5042,24.92,24.9,0,22.13,28.43,4.56,100.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,24.96197,2.43E-06,6.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,49,61962.88,-5.4886,25.0501,95.5438,5.213,6.9012,2.5049,25,25.01,0,22.13,28.65,4.03,100.831,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,1.48,0,24.96036,2.31E-06,5.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,50,61962.88,-5.4964,25.0481,95.5409,5.2128,6.8995,2.5061,25.01,25,0,22.13,28.65,4.17,100.831,0,0,0,0,0,0,0,1.12,0,0,0,1.13,0,0,0.83,0,24.96361,2.18E-06,5.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,51,61962.88,-5.5034,25.0405,95.5448,5.2126,6.8982,2.5049,24.92,24.88,0,22.13,28.65,4.25,100.832,0,0,0,0,0,0,0,0.47,0,0,0,0.63,0,0,3.09,0,24.96142,2.08E-06,5.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,52,61962.88,-5.5209,25.04,95.5436,5.2147,6.9006,2.5062,24.95,24.94,0,22.13,28.65,4.96,100.832,0,0,0,0,0,0,0,0.27,0,0,0,0.36,0,0,1.74,0,24.95439,2.00E-06,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,53,61962.88,-5.5304,25.0398,95.5421,5.2138,6.8952,2.5046,24.95,24.9,0,22.13,28.65,4.53,100.832,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.98,0,24.94841,1.94E-06,4.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,54,61962.88,-5.5421,25.036,95.5411,5.2188,6.9105,2.5041,25,25,0,22.13,28.65,4.53,100.832,0,0,0,0,0,0,0,0.08,0,0,0,0.11,0,0,0.55,0,24.93813,1.89E-06,4.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,55,61962.88,-5.5427,25.0369,95.5401,5.2179,6.8996,2.5025,25.01,25.03,0,22.13,28.65,4.53,100.832,0,0,0,0,0,0,0,0.05,0,0,0,0.06,0,0,0.31,0,24.94238,1.81E-06,4.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,56,61962.88,-5.5539,25.0351,95.5437,5.2199,6.9081,2.5025,24.96,24.93,0,22.13,28.65,4.81,100.832,0,0,0,0,0,0,0,0.03,0,0,0,0.04,0,0,0.17,0,24.95305,1.74E-06,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,57,61962.88,-5.5659,25.0383,95.5468,5.217,6.8995,2.5032,25.03,24.96,0,22.13,28.65,4.53,100.832,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0.1,0,24.95984,1.68E-06,4.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,58,61962.88,-5.5867,25.0407,95.5406,5.2202,6.8961,2.5037,24.9,24.85,0,22.13,28.65,4.92,100.832,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0.06,0,24.96061,1.59E-06,3.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,59,61962.88,-5.6058,25.0327,95.5397,5.2282,6.901,2.5055,24.99,24.94,0,22.13,28.65,4.56,100.832,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,24.95614,1.49E-06,3.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,60,61962.88,-5.5953,25.0325,95.5409,5.2307,6.8979,2.5051,24.93,24.99,0,22.13,28.84,4.56,100.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,24.95015,1.38E-06,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,61,61962.88,-5.5705,25.032,95.5413,5.2296,6.9014,2.5043,25.02,25.03,0,22.13,28.84,4.54,100.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,24.9406,1.26E-06,3.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,62,61962.88,-5.5103,25.0423,95.5424,5.2283,6.9046,2.5043,25.04,25.03,0,22.13,28.84,4.53,100.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,24.92986,1.14E-06,2.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,63,61962.88,-5.4097,25.0387,95.5446,5.2275,6.9036,2.5047,24.88,24.82,0,21.59,28.84,4.78,100.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95654,1.01E-06,2.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,64,61962.88,-5.291,25.0399,95.5448,5.2231,6.9003,2.5045,24.97,24.91,0,21.59,28.84,4.48,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96795,8.91E-07,2.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,65,61962.88,-5.1511,25.052,95.5396,5.2324,6.8969,2.5044,25.04,25,0,21.59,28.84,4.34,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97865,7.69E-07,1.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,66,61962.88,-5.06,25.0393,95.5399,5.2251,6.8939,2.5032,24.96,24.94,0,21.59,28.84,4.41,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99272,6.52E-07,1.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,67,61962.88,-5.0248,25.0476,95.5419,5.2359,6.8912,2.5042,24.99,25,0,21.59,28.96,4.77,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00109,5.47E-07,1.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,68,61962.88,-4.995,25.0343,95.5417,5.2323,6.889,2.5059,24.94,25,0,21.5,28.96,4.48,100.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00191,4.65E-07,1.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
