Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,62646.38,50.4305,25.0293,96.2427,5.0429,6.1837,2.5038,25.03,25.77,15,21.2,35.43,4.53,101.777,0,0,0,0,0.91,0,0,0,0,0,1.33,0,0,0,0,4.87,25.71003,2.337915E-06,6.010786E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.010786E-05,0
1,62646.38,31.0761,25.0284,96.2398,5.0478,6.1901,2.5033,24.93,25.67,15,20.93,35.56,4.37,101.779,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0.63,0,0,25.71003,2.430583E-06,6.249036E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249036E-05,0
2,62646.38,27.2762,25.0324,96.2385,5.052,6.1867,2.5036,24.99,25.7,15,20.93,35.56,4.34,101.779,1.13,0,0,0,0,0,0,0,0.98,0,0,0,0,0.36,0,0,25.71003,2.397435E-06,6.163812E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.163812E-05,0
3,62646.38,23.1801,25.0276,96.2375,5.048,6.1932,2.5041,24.92,25.59,15,20.93,35.56,4.57,101.78,0.63,0,0,0,0,0,0,0,3.18,0,0,0,0,0.2,0,0,25.71003,2.372627E-06,6.10003E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10003E-05,0
4,62646.38,19.4038,25.0275,96.2437,5.0485,6.1968,2.5034,25.01,25.76,15,20.93,35.56,4.34,101.78,0.36,0,0,0,0,0,0,0,19.79,0,0,0,0,0.11,0,0,25.71003,2.291564E-06,5.891619E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.891619E-05,0
5,62646.38,16.4395,25.0332,96.2386,5.0464,6.1888,2.5033,25.06,25.82,15,20.93,35.56,4.39,101.781,0.2,0,0,0,0,0,0,0,15.26,0,0,0,0,0.06,0,0,25.71003,2.211352E-06,5.685393E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.685393E-05,0
6,62646.38,13.7378,25.0205,96.2422,5.0501,6.1947,2.5027,25.1,25.84,15,20.74,35.72,4.34,101.781,0.11,0,0,0,0,0,0,0,9.71,0,0,0,0,0.04,0,1.13,25.71003,2.239108E-06,5.756753E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.756753E-05,0
7,62646.38,11.214,25.0226,96.2433,5.0487,6.2012,2.5023,24.95,25.67,15,20.74,35.72,4.39,101.781,0.06,0,0,0,0,0,0,0,15.21,0,0,0,0,0.02,0,0.63,25.71003,2.184615E-06,5.61665E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61665E-05,0
8,62646.38,8.9956,25.0244,96.2454,5.0592,6.2012,2.5042,24.98,25.63,15,20.74,35.72,4.34,101.781,0.04,0,0,0,0,0,0,0,16.24,0,0,0,0,0.01,0,2.61,25.71542,2.148665E-06,5.525382E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.525382E-05,0
9,62646.38,6.7838,25.0341,96.2422,5.0641,6.1994,2.504,24.94,25.62,15,20.74,35.72,4.34,101.782,0.02,0,0,0,0,0,0,0,9.85,0,0,0,0,0.01,0,1.47,25.72902,2.121691E-06,5.458904E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.458904E-05,0
