"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state","quality","source.data"
1,"1",1.9426413,425.5,4.8249,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
2,"1",0.9666624,543.5,4.77385,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
3,"1",0.31729857,663.5,4.7392,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
4,"1",0.38847213,783.5,4.7161,0.403181818181818,0.2,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
5,"1",0.58839744,903,4.6836,0.447272727272727,0.15,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
6,"1",0.38436585,1022.5,4.6726,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
7,"1",0.44802966,1142.5,4.6659,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
8,"1",0.32229654,1262,4.6552,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
9,"1",0.40511391,1380.5,4.647,0.256,0.085,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
10,"1",0.4885095,1499.5,4.6419,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
11,"1",0.6514245,1619.5,4.6394,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
12,"1",0.42234732,1739.5,4.6375,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
13,"1",0.6853557,1859.5,4.63765,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
14,"1",0.4705836,1979.5,4.64955,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
15,"1",1.218723,2099.5,4.6435,1.23901639344262,0.63,"Active","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
16,"1",1.1295015,2219.5,4.63505,NA,NA,"Inactive","pass","002-FH-25-05C-2022-03-16_trans_isol_R.csv"
