"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state","quality","source.data"
1,"1",3.6308439,782.5,19.88775,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
2,"1",2.5486491,900.5,19.92645,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
3,"1",2.3876034,1020.5,19.94305,0.334,0.085,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
4,"1",2.1746022,1140.5,19.94505,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
5,"1",2.4836892,1260,19.9434,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
6,"1",2.4255453,1379.5,19.9523,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
7,"1",2.251383,1499,19.949,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
8,"1",2.3320806,1617,19.9453,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
9,"1",2.6965596,1735,19.9559,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
10,"1",2.2778211,1854.5,19.9482,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
11,"1",2.7407808,1974.5,19.94485,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
12,"1",3.1747272,2094.5,19.94915,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
13,"1",3.3735486,2214,19.948,0.857692307692308,0.21,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
14,"1",3.7286589,2333.5,19.9407,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
15,"1",4.2133773,2453.5,19.93875,NA,NA,"Inactive","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
16,"1",4.4089491,2573.5,19.93965,5.78714285714286,4.38,"Active","pass","001-FH-25-20C-2022-03-15_trans_isol_R.csv"
