"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state","quality","source.data"
1,"1",5.2528098,647,3.906,1.44729166666667,0.54,"Active","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
2,"1",4.6617474,765.5,3.87965,1.69653846153846,0.7,"Active","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
3,"1",3.005157,885,3.8699,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
4,"1",3.9270408,1004.5,3.8419,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
5,"1",3.3743208,1124,3.8337,0.593846153846154,0.22,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
6,"1",2.6656575,1242.5,3.83145,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
7,"1",5.6559897,1361.5,3.8307,4.66149425287356,1.7,"Active","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
8,"1",2.0763762,1480.5,3.82365,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
9,"1",3.4268316,1599.5,3.81775,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
10,"1",2.9895867,1719.5,3.8158,0.028,0.02,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
11,"1",2.6333526,1838.5,3.82325,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
12,"1",2.3096034,1957.5,3.81035,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
13,"1",1.6971498,2077,3.8034,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
14,"1",2.3174415,2196.5,3.7878,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
15,"1",2.3739813,2316.5,3.78605,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
16,"1",2.0736558,2436.5,3.7898,NA,NA,"Inactive","pass","007-FH-20-05C-2022-03-28_trans_isol_R.csv"
