"Chamber","cycle","median_co2_ul.h","median_time","median_temp","mean_activity","median_activity","activity_state","quality","source.data"
1,"1",6.788178,470,19.864,2.1364406779661,1.265,"Active","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
2,"1",5.8329108,588.5,19.8545,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
3,"1",7.293957,708.5,19.84635,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
4,"1",6.836436,828,19.8308,2.12685714285714,0.5,"Active","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
5,"1",6.880515,947.5,19.8245,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
6,"1",5.7193854,1067,19.8223,0.805535714285714,0.37,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
7,"1",5.4284403,1186.5,19.82505,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
8,"1",5.9349225,1306.5,19.82075,0.805079365079365,0.27,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
9,"1",5.7296478,1426.5,19.82275,0.330666666666667,0.16,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
10,"1",5.2327752,1546.5,19.83475,0.378333333333333,0.15,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
11,"1",8.088096,1666,19.8349,1.03851851851852,0.375,"Active","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
12,"1",6.705564,1785.5,19.8351,1.11558333333333,0.765,"Active","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
13,"1",4.6080924,1905,19.822,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
14,"1",4.8212562,2024.5,19.82345,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
15,"1",4.0293072,2144,19.82,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
16,"1",5.4752076,2263.5,19.82315,NA,NA,"Inactive","pass","008-FH-20-20C-2022-03-28_trans_isol_R.csv"
