Seconds,Date_Time,CO2ppm,WVppt,RefBP,DegC1,DegC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
0,62646.48,22.2996,25.0299,96.2566,30.1007,29.1184,2.5015,24.89,25.62,15,21.73,36.01,4.51,101.803,0.83,0,0,0.04,0,9.9,9.94,0,26.35,0,0,8.44,0,1.51,9.19,0.72,25.72605,7.692501E-06,1.978976E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.978976E-04,0
1,62646.48,6.5325,25.0299,96.2532,30.0824,29.0989,2.5031,25.06,25.72,15,21.96,35.66,4.91,101.802,0.27,0,0,0,0,9.39,4.41,0,29.1,30.89,0,2.86,0,0.57,0.49,1.63,25.72605,7.64389E-06,1.966471E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.966471E-04,0
2,62646.48,6.0732,25.0354,96.252,30.0783,29.101,2.504,25.07,25.79,15,21.96,35.66,4.58,101.803,0.15,0,0,0,0,18.22,4.73,0,42.08,41.16,0,1.61,0,0.32,3.09,0.92,25.72605,7.601222E-06,1.955494E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.955494E-04,0
3,62646.48,5.6407,25.0365,96.2529,30.0774,29.0936,2.5033,24.99,25.72,15,21.96,35.66,4.87,101.803,0.09,0,0,0,0,17.75,3.79,0,52.36,51.66,0,0.91,0,0.18,1.74,0.52,25.72605,7.563373E-06,1.945757E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945757E-04,0
4,62646.48,5.1622,25.0401,96.2535,30.089,29.09,2.5036,24.89,25.54,15,21.96,35.66,4.56,101.803,0.05,0,0,0,0,21.98,8.88,0,27.57,33.56,0,0.51,0,0.1,0.98,0.29,25.72605,7.488991E-06,1.926621E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.926621E-04,0
5,62646.48,5.1622,25.0401,96.2535,30.089,29.09,2.5036,24.89,25.54,15,21.96,35.66,4.56,101.803,0.05,0,0,0,0,21.98,8.88,0,27.57,33.56,0,0.51,0,0.1,0.98,0.29,25.72605,7.425716E-06,1.910343E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.910343E-04,0
6,62646.48,4.4497,25.0339,96.2538,30.0854,29.1007,2.5047,24.99,25.74,15,21.96,35.66,4.54,101.804,0.02,0,0,0,0,17.77,7.33,0,15.85,29.65,0,0.16,0,0.03,0.31,0.09,25.72605,7.404988E-06,1.90501E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90501E-04,0
7,62646.48,4.0813,25.0348,96.2492,30.0911,29.1023,2.5031,25.03,25.78,15,21.96,35.66,4.92,101.804,0.01,0,0,0,0,12.25,5.81,0,16.72,14.48,0,0.09,0,6.77,0.17,0.05,25.72605,7.370233E-06,1.896069E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.896069E-04,0
8,62646.48,3.7705,25.0405,96.2521,30.0898,29.1005,2.5032,25.06,25.82,15,22.06,35.66,4.54,101.805,0,2.25,0,0,0,18.14,9.27,0,13.9,28.39,0,0.05,0,7.56,3.29,0.03,25.73311,7.316597E-06,1.882788E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.882788E-04,0
9,62646.48,3.4517,25.0344,96.2498,30.0833,29.1027,2.5031,25.14,25.84,15,22.06,35.33,4.54,101.805,0,1.27,0,0,0,22.39,5.21,0,7.82,24.41,0,0.03,0,23.75,3.54,0.02,25.75646,7.246138E-06,1.866349E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866349E-04,0
